id;text;feature;user;sentiment;create_at;source;geo;coordinates;hashtags;mentions
2640471;to triste não to feliz :( hashtag hashtag hashtag url;;alaanfernand0;-1;22/08/2016 02:26;Twitter Web Client;;;cerimoniadeencerramento Rio2016 RiotoTokyo ;
2636360;eu chorei, vou sentir falta. hashtag hashtag;;mysiilvaa;-1;22/08/2016 02:18;Android;;;CerimoniaDeEncerramento Rio2016 ;
2636154;chegou a hrde dormir. amanhã temosque voltar ao trabalho p/ pagar essa festa feita com o nosso dinheiro. e nem fomos convidados... hashtag;;EnJoi_ce;-1;22/08/2016 02:17;Android;;;Rio2016 ;
2634270;mano, só tristeza saber que a hashtag acabou ?;;VictordoVR;-1;22/08/2016 02:14;Android;;;Rio2016 ;
2632414;bom, a hashtag acabou. quem se explodiu, se explodiu. que não se explodiu, não se explode mais.;;whataheuu;-1;22/08/2016 02:11;Twitter Web Client;;;Rio2016 ;
2627663;eu nao acreditoque chorei com o fim das olímpiadas;;larissa_angel10;-1;22/08/2016 02:06;iPhone;;;;
2622114;eu tenho esperança nessa porra de pais caralho hashtag hashtag;;evenkn0wles;-1;22/08/2016 02:02;iPhone;;;ForaTemer Rio2016 ;
2619190;galvão está decidido a nos fazer chorar não é verdade? hashtag hashtag;;reisjv;-1;22/08/2016 02:00;iPhone;;;CerimoniadeEncerramento Rio2016 ;
2613226;gente ele ta chorandoooo, ja me apeguei. qual nome dele msm? quero de melhor amigo hashtag hashtag;;jessiimartinss;-1;22/08/2016 01:56;iPhone;;;CerimoniaDeEncerramento Rio2016 ;
2605142;rt tag_user só faltou liberar catuaba pros gringo. hashtag;;joanauck;-1;22/08/2016 01:52;Twitter Web Client;;;Rio2016 ;FelipeLazare 
2604566;essa música ai? quer me fazer chorar? hashtag hashtag hashtag;;trimidum;-1;22/08/2016 01:51;TweetDeck;;;Rio2016 RiotoTokyo CerimoniaDeEncerramento ;
2587365;não deixa as olimpíadas rio 2016 acabar não ? não vai ter nenhuma igual . beijos ssss hashtag;;CorreaVicc;-1;22/08/2016 01:40;Android;;;rio2016 ;
2581347;vocês não precisam chorar pela cerimônia de encerramento. basta acompanhar as paralimpiadas. hashtag ainda não acabou!;;derleywillian;-1;22/08/2016 01:37;Android;;;Rio2016 ;
2577572;"rt tag_user hashtag homenageando o francês ""mamãe eu quero, mamãe eu quero chorar"" de nada migo, volte nunca hashtag";;_twoloves;-1;22/08/2016 01:35;Android;;;Rio2016 CerimoniaDeEncerramento ;tamujuntas 
2577057;a izabel goulart não sabe nem cantar os sambas, poha!!! que deprê... deixassem só a leandra leal hashtag hashtag;;mibragantini;-1;22/08/2016 01:34;TweetDeck;;;CerimoniaDeEncerramento Rio2016 ;
2575755;outra top modelque n sabe sambar deveria eu e o tag_user estar la hashtag hashtag;;mateeussbueno;-1;22/08/2016 01:34;iPhone;;;Rio2016 RiotoTokyo ;TiagooR 
2574127;esse carnaval só me fez lembrar que amanhã voltamos ao velho brasil, aquele lá, sem olimpíadas. hashtag hashtag;;aleimperador9;-1;22/08/2016 01:33;Android;;;CerimôniaDeEncerramento Rio2016 ;
2568546;hashtag ¡adeus hashtag se apaga el pebetero hashtag url;;moradiego83;-1;22/08/2016 01:30;IFTTT;;;LaAficiónEnRío Rio2016 RiotoTokyo ;
2565262;ai gente chorei hashtag;;high_achievver;-1;22/08/2016 01:28;Android;;;Rio2016 ;
2563124;tô chorando ? ? ? hashtag hashtag;;hilariocosta;-1;22/08/2016 01:27;Android;;;Rio2016 RiotoTokyo ;
2559475;ja avisando que vou ser bipolar essa semana ta ?! kk hashtag hashtag hashtag hashtag;;janneRoberta;-1;22/08/2016 01:25;iPhone;;;SrTutsNoSDV Rio2016 FimDasOlimpiadasMafiaSdv domingodeourodetresdv ;
2557146;agora eu vou chorar hashtag hashtag;;iluizclaudio;-1;22/08/2016 01:24;iPhone;;;Rio2016 CerimôniaDeEncerramento ;
2554547;eu não tô preparada pra um twitter sem essa imagem ao lado da hashtag hashtag;;lufernandez;-1;22/08/2016 01:22;Twitter Web Client;;;Rio2016 ;
2550835;tem um cartaz bem pequeno de hashtag atrás do palco!!! hashtag hashtag;;kkchaves;-1;22/08/2016 01:19;iPhone;;;ForaTemer ClosingCeremony Rio2016 ;
2550235;não vão não cara....???? não sei lidar hashtag hashtag hashtag;;MarcellinhaRJ;-1;22/08/2016 01:19;Android;;;CerimoniaDeEncerramento RiotoTokyo Rio2016 ;
2544056;"sei lá. esse cara, o tal de bach falando ""bocú"".... gostei não! ? hashtag hashtag";;SilRanzinza;-1;22/08/2016 01:13;Windows Phone;;;Rio2016 cerimoniadeencerramento ;
2519305;eu to surtanoooooooo hashtag hashtag hashtag hashtag;;cin_sqn;-1;22/08/2016 00:53;iPhone;;;Rio2016 RiotoTokyo CerimôniaDeEncerramento ClosingCeremony ;
2511260;prefeito é aquele colega do grupo que não faz nada, mas leva a fama pelo bom trabalho da galera. hashtag hashtag;;bsmraquel;-1;22/08/2016 00:45;Android;;;JogosOlimpicos Rio2016 ;
2510867;dudu não cansa de passar vergonha. olha só esse chapéu. hashtag;;dehanjos;-1;22/08/2016 00:44;Android;;;Rio2016 ;
2496787;nem tô chorando. hashtag hashtag;;AnaPaula7x;-1;22/08/2016 00:28;Android;;;CerimoniaDeEncerramento Rio2016 ;
2493036;to achando meio pombo hashtag hashtag;;eumeedeiros;-1;22/08/2016 00:25;iPhone;;;CerimoniaDeEncerramento Rio2016 ;
2492751;não queria que acabasse hashtag hashtag;;anaianesczko;-1;22/08/2016 00:25;iPhone;;;CerimoniaDeEncerramento Rio2016 ;
2486897;rt tag_user essa chuva é só o rio chorando pelo fim das olimpíadas, que nem eu hashtag hashtag;;dotadobieber;-1;22/08/2016 00:20;Android;;;Rio2016 Olimpiadas2016 ;Twintter13 
